id,github_org,tags,region,exclude
119,18f,,/americas/usa,
121,a2civictech,,,
1,accela-inc,,,
2,aiddata,,,
120,akroncivichackathon,,/americas/usa/midwest/ohio,
3,akvo,,,
4,appropriateit,,,
5,appsembler,,,
6,asu,,,
7,azavea,,,
8,ballotbox,,,
9,betanyc,,,
225,blue-sky-skunkworks,,,
10,bytemarkhosting,,,
122,caciviclab,,,
11,cargografias,,,
12,cdecatapult,,,
165,cforlando,,,
123,chicago,,,
13,ciudadanointeligente,,,
131,civic-hacking,,,
115,civictechfredericton,"codeforca,brigade",/americas/canada,
117,civictechro,,/europe/romania,
113,civictechto,"codeforca,brigade",/americas/canada,
116,civictechwr,"codeforca,brigade",/americas/canada,
14,civio,,,
190,code-and-coffee-uptown-brigade,,,
15,code-for-all,,/,
157,code-for-miami,,/americas/usa,
158,code-for-nashville,,/americas/usa,
176,code-for-tb,,,
112,code4canada,"codeforall,codeforca",/americas/canada,
148,code4huntsville,,/americas/usa,
156,code4maine,,/americas/usa,
162,code4newark,,/americas/usa,
237,code4nigeria,,africa/nigeria,
185,code4puertorico,,/americas/usa,
17,code4sa,,/africa,
111,codeandomexico,codeforall,/americas/mexico,
102,codeforafrica,codeforall,/africa,
236,codeforafricalabs,,africa,
103,codeforamerica,codeforall,/americas/usa,
126,codeforanchorage,,/americas/usa,
127,codeforasheville,,/americas/usa,
128,codeforatlanta,,/americas/usa,
104,codeforaustralia,codeforall,/asia/australia,
227,codeforbaltimore,,/americas/usa,
228,codeforberkeley,,/americas/usa,
130,codeforbirmingham,,/americas/usa,
235,codeforboise,,/americas/usa,
132,codeforbrazil,,/americas/south/brazil,
133,codeforbtv,,,
182,codeforcanada,,,1
134,codeforcary,,,
135,codeforcharlotte,,/americas/usa,
197,codeforchemnitz,,,
136,codeforcroatia,,/europe,
137,codeforcuritiba,,/americas/south/brazil,
138,codefordayton,,/americas/usa,
139,codefordc,,/americas/usa,
140,codefordenver,,/americas/usa,
141,codeforeauclaire,,,
142,codeforeurope,,/europe,
229,codeforfoco,,,
143,codeforftl,,/americas/usa,
105,codeforgermany,codeforall,/europe/germany,
198,codeforgiessen,,,
145,codeforgso,,,
146,codeforhawaii,,/americas/usa,
149,codeforibaraki,,,
150,codeforireland,,/europe,
106,codeforjapan,codeforall,/asia/japan,
152,codeforkanazawa-org,,,
153,codeforkansascity,,/americas/usa/midwest,
200,codeforleipzig,,/europe/germany,
202,codeformuenster,,/europe/germany,
201,codeformunich,,/europe/germany,
159,codefornh,,/americas/usa/northeast,
238,codefornigeria,,/africa/nigeria,
160,codefornola,,/americas/usa/south,
161,codefornrv,,/americas/usa/south,
230,codeforokc,,/americas/usa/south,
164,codeforokinawa,,/asia/japan,
108,codeforpakistan,codeforall,/asia/south/pakistan,
147,codeforpdx,,/americas/usa/west,
167,codeforpg,,/americas/south/brazil,
211,codeforpittsburgh,,/americas/usa/northeast,
231,codeforprinceton,,/americas/usa/northeast,
169,codeforrockford,,/americas/usa/midwest,
170,codeforrva,,,
171,codeforsanjose,,/americas/usa,
172,codeforsapporo,,/asia/japan,
187,codeforseoul,,,
174,codeforsummitcounty,,,
175,codefortallahassee,,/americas/usa,
178,codefortomorrow,,/asia/taiwan,
179,codefortucson,,/americas/usa/west,
180,codefortulsa,,/americas/usa,
181,codefortuscaloosa,,/americas/usa,
183,codeforvegas,,/americas/usa,
184,codeisland,,/americas/usa/northeast,
19,congresointeractivo,,,
20,craftedcode,,,
21,curatur,,,
22,cytoscape,,,
23,dallasmorningnews,,,
118,dataforgoodfr,,/europe/france,
24,datamade,,,
25,dataprotocols,,,
188,datasf,,/americas/usa,
26,datauy,,,
27,democracyworks,,,
28,desarrollandoamericalatina,,,
189,detroitwaterproject,,/americas/usa,
29,devinit,,,
30,digitalbutter,,,
31,e-democracy,,,
32,ecitizens,,,
107,epforgpl,codeforall,,
155,epforgpl,,,
33,everypolitician,,,
34,folklabs,,/europe,
35,forum-informationsfreiheit,,,
36,g0v,,/asia/taiwan,
37,gephi,,,
38,govdelivery,,,
39,govlab,,,
40,govtrack,,,
41,granicus,,,
191,hackforla,,,
193,hackingmadison,,/americas/usa,
195,civica-digital,,/americas/mexico,
,medialab-prado,,/europe/spain,
192,hackmichiana,,,
194,hacktahoe,,/americas/usa,
42,hasadna,,,
43,hhba,,,
44,hutspace,,,
45,iilab,,,
46,influencemapping,,,
47,jplusplus,,,
48,kohovolit,,,
49,kuorum,,,
50,lawpal,,,
51,linkurious,,,
52,littlesis-org,,,
196,loomio,,,
53,medialab,,,
223,microsofttce,,,
226,milwaukeedata,,,
54,muckrock,,,
55,mysociety,,/europe,
56,nzherald,,,
224,oaktechequity,,,
57,odpe,,,
58,okfde,,/europe/germany,
59,okfn,,,
,okfn-spain,,/europe/spain
60,onesky,,,
203,open-austin,,/americas/usa,
206,open-data-standards,,,
168,open-nc,,/americas/usa,
61,openaustralia,,/asia/australia,
62,openc,,,
204,openchattanooga,,/americas/usa,
63,opencivicdata,,,
205,opencleveland,,/americas/usa,
64,opendata,,,
199,opendata-heilbronn,,,
239,opendata-stuttgart,codeforde,/europe/germany,
232,opendatade,,,
207,opendatastl,,/americas/usa,
233,opendenton,,/americas/usa,
208,openelections,,,
65,opengovfoundation,,,
66,openinstitute,,,
154,openkawasaki,,/asia/japan,
67,openkratio,,,
209,openlexington,,/americas/usa,
210,opennebraska,,/americas/usa,
68,opennorth,,/americas/canada,
69,openoakland,,/americas/usa,
70,openpolis,,,
212,opensaltlake,,/americas/usa,
214,opensandiego,,/americas/usa,
213,opensatx,,,
215,opensavannah,,/americas/usa,
71,openstate,,,
216,upstatedata,,/americas/usa/northeast,
72,opentechinstitute,,,
109,openupsa,codeforall,/africa/south-africa,
217,openwichita,,/americas/usa,
218,openzagreb,,,
73,oxfordinternetinstitute,,,
74,participedia,,,
75,poderomedia,,,
76,poderopedia,,,
77,poplus,,,
219,presidential-innovation-fellows,,,
220,project-open-data,,,
78,propublica,,,
79,public-accountability,,,
80,pudo-attic,,,
81,pwyf,,,
82,regardscitoyens,,,
163,sarl-hackerspace,,,
83,seegno,,,
84,sinar,,,
234,sketch-city,,,
110,slashroots,codeforall,,
221,smartchicago,,/americas/usa,
86,sobanukirwa,,,
87,structr,,,
88,sunlightlabs,,,
89,tag1consulting,,,
,consul,product,/europe/spain,
,dssg,,/americas/usa
90,teampopong,,,
91,tedicpy,,,
92,texas,,/americas/usa,
93,the-engine-room,,,
94,titansgroup,,,
95,transparencytoolkit,,,
96,tuxuri,,,
97,ucl,,,
98,une,,,
99,urbanstrategies,,,
222,uscensusbureau,,,
100,ushahidi,,,
101,votesmart,,,
114,yowct,"codeforca,brigade",/americas/canada,
